index,begin_time,end_time,low_freq,high_freq,species,selected,file,period,group,exists,class
0,24.581083072,24.799162651,4567.7,5314.4,aden_marm,True,wavs/selected/night/LEEC05__0__20161020_192400_ma.Table.1.selections.wav,night,frog,True,aden_marm
1,14.9,18.152,3827.6,5448.3,aden_marm,True,wavs/selected/night/LEEC05__0__20161103_183900_ma.Table.1.selections.wav,night,frog,True,aden_marm
2,4.935,8.591,3988.0,5461.1,aden_marm,True,wavs/selected/night/LEEC05__0__20161231_183900_br.Table.1.selections.wav,night,frog,True,aden_marm
3,11.732305118,12.168464276,4173.3,6736.6,aden_marm,True,wavs/selected/night/LEEC05__0__20170103_222400_br.Table.1.selections.wav,night,frog,True,aden_marm
4,20.621416196,20.882563488,4741.1,6280.7,aden_marm,True,wavs/selected/night/LEEC05__0__20170118_205400_br.Table.1.selections.wav,night,frog,True,aden_marm
5,6.581697295,6.888991248,4734.9,6719.7,aden_marm,True,wavs/selected/night/LEEC05__0__20170119_200100_br.Table.1.selections.wav,night,frog,True,aden_marm
6,0.10903979,0.416333742,4656.4,6531.7,aden_marm,True,wavs/selected/night/LEEC05__0__20170119_205400_br.Table.1.selections.wav,night,frog,True,aden_marm
7,1.408396055,1.702788468,4267.6,5112.7,aden_marm,True,wavs/selected/night/LEEC05__0__20170126_191600_br.Table.1.selections.wav,night,frog,True,aden_marm
8,14.851658598,15.139127135,3892.0,4644.4,aden_marm,True,wavs/selected/night/LEEC06__0__20161113_183100_ma.Table.1.selections.wav,night,frog,True,aden_marm
9,7.906,10.799,3640.4,4752.8,aden_marm,True,wavs/selected/night/LEEC06__0__20161116_200900_ma.Table.1.selections.wav,night,frog,True,aden_marm
10,54.816504479,54.985020517,4681.6,5373.6,aden_marm,True,wavs/selected/night/LEEC08__0__20161204_200900_aa.Table.1.selections.wav,night,frog,True,aden_marm
11,52.582078005,52.780332168,4113.3,6137.6,aden_marm,True,wavs/selected/night/LEEC15__0__20170120_200100_br.Table.1.selections.wav,night,frog,True,aden_marm
12,54.186,57.466,3549.3,4901.4,aden_marm,True,wavs/selected/night/LEEC18__0__20161110_205400_ma.Table.1.selections.wav,night,frog,True,aden_marm
13,13.014,15.936,3777.2,4913.6,aden_marm,True,wavs/selected/night/LEEC18__1__20161203_184100_aa.Table.1.selections.wav,night,frog,True,aden_marm
14,52.17,55.271,3741.6,5292.1,aden_marm,True,wavs/selected/night/LEEC18__1__20161204_184100_aa.Table.1.selections.wav,night,frog,True,aden_marm
15,1.506731637,2.210533915,4056.6,5674.3,aden_marm,True,wavs/selected/night/LEEC23__1__20161213_183100_aa.Table.1.selections.wav,night,frog,True,aden_marm
16,48.827,52.382,4011.3,5609.1,aden_marm,True,wavs/selected/night/LEEC23__1__20161213_184100_aa.Table.1.selections.wav,night,frog,True,aden_marm
17,32.758385995,39.746845233,3927.7,5236.9,aden_marm,True,wavs/selected/night/LEEC23__1__20161220_184100_aa.Table.1.selections.wav,night,frog,True,aden_marm
18,3.369770416,3.671094214,4209.8,4989.3,aden_marm,True,wavs/selected/night/LEEC26__0__20161024_191600_ma.Table.1.selections.wav,night,frog,True,aden_marm
19,7.099729024,7.521582342,4150.5,5094.8,aden_marm,True,wavs/selected/night/LEEC26__0__20161025_205400_ma.Table.1.selections.wav,night,frog,True,aden_marm
20,9.625455886,9.863360881,4185.8,4916.7,aden_marm,True,wavs/selected/night/LEEC26__0__20161026_222400_ma.Table.1.selections.wav,night,frog,True,aden_marm
21,21.565,24.616,3684.5,5104.2,aden_marm,True,wavs/selected/night/LEEC26__0__20161113_200100_ma.Table.1.selections.wav,night,frog,True,aden_marm
22,29.204,30.808,4093.3,5142.9,aden_marm,True,wavs/selected/night/LEEC26__0__20161114_192400_ma.Table.1.selections.wav,night,frog,True,aden_marm
23,5.951372324,6.373225642,4172.4,4919.1,aden_marm,True,wavs/selected/night/LEEC26__0__20161115_200100_ma.Table.1.selections.wav,night,frog,True,aden_marm
24,3.152241188,3.330669935,3991.0,5045.6,aden_marm,True,wavs/selected/night/LEEC26__0__20161116_191600_ma.Table.1.selections.wav,night,frog,True,aden_marm
25,0.812842067,0.981358106,4110.9,5367.6,aden_marm,True,wavs/selected/night/LEEC26__0__20161219_213900_aa.Table.1.selections.wav,night,frog,True,aden_marm
26,18.27,20.704,3665.7,4876.1,aden_marm,True,wavs/selected/night/LEEC26__0__20170111_200100_br.Table.1.selections.wav,night,frog,True,aden_marm
27,5.413784247,5.604622653,3897.9,4804.4,aden_marm,True,wavs/selected/night/LEEC26__0__20170113_192400_br.Table.1.selections.wav,night,frog,True,aden_marm
28,0.485722699,0.703802278,4065.1,4857.0,aden_marm,True,wavs/selected/night/LEEC26__0__20170114_200900_br.Table.1.selections.wav,night,frog,True,aden_marm
29,0.921881857,1.040834355,4012.3,5529.9,aden_marm,True,wavs/selected/night/LEEC40__0__20161228_204600_br.Table.1.selections.wav,night,frog,True,aden_marm
30,7.193,9.772,3624.6,4715.5,aden_marm,True,wavs/selected/night/LEEC41__0__20161107_192400_ma.Table.1.selections.wav,night,frog,True,aden_marm
31,22.547640562,22.899184994,3897.9,4984.2,aden_marm,True,wavs/selected/night/LEEC41__0__20161111_191600_ma.Table.1.selections.wav,night,frog,True,aden_marm
32,22.658337201,22.82685324,3779.8,4630.3,aden_marm,True,wavs/selected/night/LEEC41__0__20161118_200100_aa.Table.1.selections.wav,night,frog,True,aden_marm
33,1.179612269,1.59594601,3566.9,5489.1,aden_marm,True,wavs/selected/night/LEEC42__0__20161025_205400_ma.Table.1.selections.wav,night,frog,True,aden_marm
34,1.179612269,1.328302891,3897.9,5189.8,aden_marm,True,wavs/selected/night/LEEC42__0__20161102_183100_ma.Table.1.selections.wav,night,frog,True,aden_marm
35,3.446,6.452,3987.5,5266.5,aden_marm,True,wavs/selected/night/LEEC42__0__20161106_183900_ma.Table.1.selections.wav,night,frog,True,aden_marm
36,2.319573705,2.478177035,4237.4,5173.8,aden_marm,True,wavs/selected/night/LEEC42__0__20161116_204600_ma.Table.1.selections.wav,night,frog,True,aden_marm
